"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
isdiction Wide,,,,
PCT 1,,,,
Polling,122 41.78%,22 7.53% 2 0.68%,9,3.08%
Paper,0 -,0 - 0 -,0,-
Mail,26 34.67%,2 2.67% 0 0.00%,2,2.67%
Early,500 40.03%,51 4.08% 9 0.72%,25,2.00%
Total,648 40.10%,75 4.64% 11 0.68%,36,2.23%
PCT 2,,,,
Polling,218 44.40%,35 7.13% 8 1.63%,6,1.22%
Paper,0 -,0 - 0 -,0,-
Mail,42 49.41%,0 0.00% 1 1.18%,2,2.35%
Early,731 42.13%,65 3.75% 19 1.10%,18,1.04%
Total,991 42.88%,100 4.33% 28 1.21%,26,1.13%
PCT 3,,,,
Polling,174 76.99%,9 3.98% 0 0.00%,3,1.33%
Paper,0 -,0 - 0 -,0,-
Mail,27 84.38%,0 0.00% 0 0.00%,1,3.13%
Early,406 74.22%,13 2.38% 8 1.46%,2,0.37%
Total,607 75.40%,22 2.73% 8 0.99%,6,0.75%
PCT 4,,,,
Polling,28 24.56%,4 3.51% 1 0.88%,4,3.51%
Paper,0 -,0 - 0 -,0,-
Mail,10 30.30%,4 12.12% 0 0.00%,0,0.00%
Early,113 19.86%,19 3.34% 2 0.35%,10,1.76%
Total,151 21.09%,27 3.77% 3 0.42%,14,1.96%
PCT 5,,,,
Polling,40 42.55%,6 6.38% 2 2.13%,3,3.19%
Paper,0 -,0 - 0 -,0,-
Mail,18 35.29%,0 0.00% 0 0.00%,0,0.00%
Early,138 24.00%,23 4.00% 2 0.35%,7,1.22%
Total,196 27.22%,29 4.03% 4 0.56%,10,1.39%
PCT 6,,,,
Polling,265 41.21%,41 6.38% 7 1.09%,16,2.49%
Paper,0 -,0 - 0 -,0,-
Mail,28 40.00%,5 7.14% 0 0.00%,2,2.86%
Early,1262 42.65%,132 4.46% 12 0.41%,49,1.66%
Total,1555 42.35%,178 4.85% 19 0.52%,67,1.82%
PCT 7,,,,
Polling,61 39.35%,8 5.16% 2 1.29%,0,0.00%
Paper,0 -,0 - 0 -,0,-
Mail,11 39.29%,0 0.00% 0 0.00%,1,3.57%
Early,288 39.72%,26 3.59% 5 0.69%,14,1.93%
Total,360 39.65%,34 3.74% 7 0.77%,15,1.65%
PCT 8,,,,
Polling,105 26.18%,13 3.24% 5 1.25%,4,1.00%
Paper,0 -,0 - 0 -,0,-
Mail,8 15.09%,0 0.00% 0 0.00%,0,0.00%
Early,209 19.66%,17 1.60% 11 1.03%,9,0.85%
Total,322 21.23%,30 1.98% 16 1.05%,13,0.86%
PCT 9,,,,
Polling,254 33.38%,37 4.86% 4 0.53%,17,2.23%
Paper,0 -,0 - 0 -,0,-
Mail,26 33.33%,1 1.28% 0 0.00%,1,1.28%
Early,685 26.47%,106 4.10% 10 0.39%,30,1.16%
Total,965 28.16%,144 4.20% 14 0.41%,48,1.40%
PCT 10,,,,
Polling,17 18.09%,0 0.00% 0 0.00%,1,1.06%
Paper,0 -,0 - 0 -,0,-
Mail,4 18.18%,1 4.55% 1 4.55%,0,0.00%
Early,42 13.73%,6 1.96% 2 0.65%,4,1.31%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,63 14.93%,7 1.66% 3 0.71%,5,1.18%
